feature,mean_shap,raw_feature
half billion,-0.0002272058470664907,text__half billion
eric holder,-0.00022720006015464775,text__eric holder
christmas,-0.00022700876962485972,text__christma
clunkers,-0.0002269279246082276,text__clunker
cash clunkers,-0.0002269279246082276,text__cash clunker
boehner,-0.00022687702118512107,text__boehner
people support,-0.0002263153878390213,text__peopl support
bank,-0.000225440370271048,text__bank
republican rep,-0.0002249652890653264,text__republican rep
islamic state,-0.0002248342684765401,text__islam state
deer hunting,-0.00022475034697994547,text__deer hunt
comments,-0.0002243096250789708,text__comment
tell us,-0.00022421019441352117,text__tell us
improve,-0.00022402961110096534,text__improv
voted,-0.0002238291297363589,text__vote
theres,-0.00022327283271682342,text__there
make sure,-0.0002232391582958051,text__make sure
wall street,-0.0002230827345910499,text__wall street
says stimulus,-0.00022258280950107832,text__say stimulu
mitch mcconnell,-0.00022186172056997083,text__mitch mcconnel
speak,-0.00022161843805976447,text__speak
jobs million,-0.00022158866388538584,text__job million
mandate health,-0.00022136510322971512,text__mandat health
waiver,-0.00022126475081261362,text__waiver
support legal,-0.00022096905784962389,text__support legal
connie,-0.00022057432590429473,text__conni
connie mack,-0.00022057432590429473,text__conni mack
clinics,-0.0002202815155932605,text__clinic
kind,-0.00022027739534715647,text__kind
center,-0.00022005497115144213,text__center
accused,-0.00021983591033715213,text__accus
percent small,-0.00021975023870687762,text__percent small
someone,-0.0002191666998305274,text__someon
material,-0.00021914333439779473,text__materi
subject,-0.00021878419085798615,text__subject
never done,-0.00021865630733079914,text__never done
percent stimulus,-0.00021817331283890203,text__percent stimulu
care act,-0.0002179924031113901,text__care act
joe,-0.00021737715243167467,text__joe
nathan deal,-0.00021719024873076046,text__nathan deal
nathan,-0.00021719024873076046,text__nathan
border fence,-0.00021701475916084713,text__border fenc
would save,-0.00021674609297084633,text__would save
romney support,-0.00021673165958069625,text__romney support
last two,-0.00021650121079874933,text__last two
would cut,-0.0002163051643225203,text__would cut
solar,-0.00021615977615135716,text__solar
jim,-0.00021594933094083637,text__jim
baldwin,-0.00021575451128034355,text__baldwin
Subject: urban,-0.0002156956852768442,subject__urban
impossible,-0.0002156056456766544,text__imposs
long,-0.0002155853301593667,text__long
book,-0.000215047038494482,text__book
support right,-0.00021437524165474647,text__support right
border illegal,-0.0002141716340778399,text__border illeg
recall opponent,-0.00021384486246424315,text__recal oppon
Speaker's job title: Former governor,-0.00021373466469757477,job__Speaker's job title_Former governor
expand,-0.00021365015138635272,text__expand
almost,-0.00021351382675521748,text__almost
students loan,-0.00021343867026570406,text__student loan
coalition,-0.00021303772633360238,text__coalit
long term,-0.00021279578293703576,text__long term
public option,-0.00021271591291221342,text__public option
obamacare tax,-0.0002121722691299501,text__obamacar tax
brazil,-0.00021172624233762536,text__brazil
billion stimulus,-0.0002116525966257669,text__billion stimulu
vice,-0.00021163059027742398,text__vice
pay women,-0.0002108017837518561,text__pay women
stimulate,-0.0002104090529231515,text__stimul
formula,-0.0002103178124545634,text__formula
democrats republican,-0.00021022303585228202,text__democrat republican
Speaker's job title: Congressman,-0.00020991450795857403,job__Speaker's job title_Congressman
biden,-0.0002099019939720489,text__biden
Subject: iraq,-0.00020960742186523293,subject__iraq
users,-0.0002093974114056009,text__user
medicare billion,-0.00020937619864367724,text__medicar billion
year president,-0.00020917159996115055,text__year presid
publicly,-0.0002088269970400633,text__publicli
mccollum,-0.00020870732713982693,text__mccollum
cast,-0.0002086014806909499,text__cast
arent,-0.0002081057359961071,text__arent
independent payments,-0.00020780857017032472,text__independ payment
payments advisory,-0.00020780857017032472,text__payment advisori
little,-0.00020764261057359926,text__littl
better,-0.0002073564989269708,text__better
assassination,-0.00020729994136739707,text__assassin
offshore,-0.0002070002010844679,text__offshor
nursing,-0.0002066419818956188,text__nurs
ever seen,-0.0002058881953138862,text__ever seen
excluding,-0.0002057117783907367,text__exclud
return,-0.00020542043128850867,text__return
ducks,-0.00020513481106969637,text__duck
said national,-0.00020510214225075014,text__said nation
week,-0.00020420794895932492,text__week
saudi,-0.00020402568921920245,text__saudi
registered voted,-0.00020386406054271377,text__regist vote
state percent,-0.0002037391468577696,text__state percent
significantly less,-0.00020360532335289395,text__significantli less
renacci,-0.00020353418356129359,text__renacci
rice,-0.0002030744009602721,text__rice
Context: a Web ad,-0.00020291189400059088,context__Context_a Web ad
said wants,-0.00020246939943937713,text__said want
slaves,-0.00020226663239131801,text__slave
thought,-0.00020199838450802993,text__thought
las vegas,-0.00020186270860254163,text__la vega
plan proposed,-0.00020182333230079895,text__plan propos
unemployment,-0.00020182281941478965,text__unemploy
obama took,-0.00020148483996527584,text__obama took
raid,-0.0002005810170926369,text__raid
build,-0.00020057552392899381,text__build
gold standards,-0.0002005342347386078,text__gold standard
consumption,-0.0002005157535977728,text__consumpt
children come,-0.0001996872344461015,text__children come
wives,-0.00019928879396508546,text__wive
virginia state,-0.00019920848313055727,text__virginia state
rutgers,-0.00019856992600943388,text__rutger
lloyd,-0.00019842187343511439,text__lloyd
tammy baldwin,-0.00019840835801530316,text__tammi baldwin
jeb,-0.00019836226662610612,text__jeb
spring,-0.00019800977309012696,text__spring
choose,-0.00019789561076277305,text__choos
vietnam,-0.00019654939873316814,text__vietnam
percentage,-0.00019631305135487664,text__percentag
environmental protect,-0.0001959968783990429,text__environment protect
eye,-0.0001958883982083892,text__eye
jobs including,-0.00019510618614313434,text__job includ
million illegal,-0.00019509114035599692,text__million illeg
fraction,-0.00019500092621163343,text__fraction
americans jobs,-0.00019495368050007967,text__american job
legislature raise,-0.00019463674455141888,text__legislatur rais
rep mike,-0.0001942456178411926,text__rep mike
vice president,-0.00019419298443828972,text__vice presid
negative added,-0.00019404015180891855,text__neg ad
fallen,-0.00019394721503230477,text__fallen
appointed,-0.0001937873735854082,text__appoint
modern history,-0.00019375681670495793,text__modern histori
proposed budget,-0.00019364123356419946,text__propos budget
Speaker's job title: Conservative advocacy group,-0.00019357928895545671,job__Speaker's job title_Conservative advocacy group
since world,-0.00019345534764841912,text__sinc world
candidate,-0.0001932810530835763,text__candid
months office,-0.0001931666438060382,text__month offic
southwest virginia,-0.0001928469395341876,text__southwest virginia
national convention,-0.000192425375518176,text__nation convent
immigration,-0.0001922244911532173,text__immigr
left state,-0.00019195239318000213,text__left state
time since,-0.00019111618375022672,text__time sinc
come across,-0.00019109335910871852,text__come across
year year,-0.00019098551938828186,text__year year
house democrats,-0.00019068802302673433,text__hous democrat
terrorist,-0.00019030199463253517,text__terrorist
part,-0.00019026383693873748,text__part
would give,-0.0001902098934703207,text__would give
obama came,-0.0001901723842122421,text__obama came
district state,-0.0001897101769359495,text__district state
head,-0.0001887766542572173,text__head
accepted,-0.00018851286147880664,text__accept
said dont,-0.0001881634848994626,text__said dont
stake,-0.00018765833656840934,text__stake
ben,-0.00018739718634837663,text__ben
navy,-0.00018731346569726774,text__navi
says eight,-0.0001871074642466777,text__say eight
office estimated,-0.00018696974172117015,text__offic estim
menendez,-0.00018677958201141642,text__menendez
poll show,-0.00018630548958360692,text__poll show
slow,-0.00018610885090502267,text__slow
america since,-0.00018596562110767363,text__america sinc
florida senate,-0.00018596242225493755,text__florida senat
tax,-0.00018589125594543172,text__tax
methods,-0.00018545703502504863,text__method
employees,-0.00018544877393977677,text__employe
beliefs,-0.0001847501353523551,text__belief
many cases,-0.00018434926393538914,text__mani case
americans received,-0.00018426414182331184,text__american receiv
south,-0.00018385929662316391,text__south
birthright citizenship,-0.00018371829000160927,text__birthright citizenship
birthright,-0.00018371829000160927,text__birthright
regarding,-0.0001833741712056378,text__regard
uninsured people,-0.00018333853734797616,text__uninsur peopl
dont think,-0.0001830604169116896,text__dont think
"State: (other, less common)",-0.00018305570354395153,state__State_infrequent_sklearn
office said,-0.00018305535222641001,text__offic said
voted allow,-0.00018274723221961802,text__vote allow
ms,-0.00018244347994549767,text__ms
wisconsin residents,-0.00018231692486756125,text__wisconsin resid
pension,-0.00018215688663329984,text__pension
billion year,-0.0001820831187682422,text__billion year
jobless,-0.00018199332170596878,text__jobless
says never,-0.00018181900788416476,text__say never
schrader,-0.00018128397449483296,text__schrader
important,-0.00018116723428054566,text__import
women,-0.00018111879296273413,text__women
clinton plan,-0.00018102854150390955,text__clinton plan
completely,-0.00018086075229967896,text__complet
one term,-0.00018045872408220268,text__one term
amendment right,-0.00018033523021622857,text__amend right
schoolchildren,-0.00018023736930865744,text__schoolchildren
killer,-0.00017990383588921833,text__killer
every person,-0.00017987717010857317,text__everi person
congress,-0.00017913137612818542,text__congress
agenda,-0.00017891327458592176,text__agenda
bunch,-0.0001788853650812637,text__bunch
thousands jobs,-0.00017886127907660532,text__thousand job
would created,-0.00017875650570318603,text__would creat
carter,-0.00017866548610459004,text__carter
population percent,-0.0001785429138057201,text__popul percent
breaks,-0.00017818633031052434,text__break
single payer,-0.00017792036937362766,text__singl payer
payer,-0.00017792036937362766,text__payer
ability,-0.00017766240315870264,text__abil
intervened,-0.00017743201819494047,text__interven
hard earn,-0.00017702618389397226,text__hard earn
finland,-0.00017694837269400138,text__finland
going state,-0.00017687118038795628,text__go state
growing,-0.00017657816014043538,text__grow
president bill,-0.00017651906966352992,text__presid bill
protect,-0.00017639437740796484,text__protect
received voted,-0.00017639112751435026,text__receiv vote
paid tax,-0.00017580896430610945,text__paid tax
modern time,-0.0001756278356457361,text__modern time
ambassador,-0.0001754797363185631,text__ambassador
shut government,-0.00017526568454220512,text__shut govern
signature,-0.00017515403876445986,text__signatur
sought,-0.000175088906707898,text__sought
percent chance,-0.00017499256231939857,text__percent chanc
earthquake,-0.00017488982809376255,text__earthquak
shelby,-0.0001743667787573455,text__shelbi
shelby county,-0.0001743667787573455,text__shelbi counti
fought,-0.00017433184363680143,text__fought
words,-0.00017422124493386132,text__word
opinion,-0.00017381009844474624,text__opinion
legislature,-0.00017374072822550168,text__legislatur
big government,-0.00017364897916253462,text__big govern
jobs construction,-0.0001733946696985428,text__job construct
chris,-0.00017313956396772479,text__chri
classrooms,-0.0001725773726330032,text__classroom
bed,-0.00017209259576043729,text__bed
growth,-0.00017158115739092733,text__growth
ronald reagan,-0.00017132711744212613,text__ronald reagan
project billion,-0.0001711371041429276,text__project billion
county district,-0.00017093743740856113,text__counti district
rebuild,-0.0001704568656214144,text__rebuild
cotton voted,-0.00017038943462784807,text__cotton vote
career politicians,-0.0001702528358952839,text__career politician
non citizens,-0.0001702108160496327,text__non citizen
verify,-0.00017017286011126494,text__verifi
mandate,-0.0001701415989410681,text__mandat
man,-0.00016948041081633314,text__man
texas state,-0.00016942498922453543,text__texa state
several,-0.00016909248472409184,text__sever
five year,-0.0001689546387928129,text__five year
presence,-0.00016883648178031305,text__presenc
harry,-0.00016874287907390605,text__harri
promote,-0.00016873980034440655,text__promot
Context: a mailer to voters,-0.00016859057439542932,context__Context_a mailer to voters
Context: Philadelphia,-0.00016859057439542932,context__Context_Philadelphia
Context: comments at a GOP debate in Cleveland,-0.00016859057439542932,context__Context_comments at a GOP debate in Cleveland
Speaker's job title: Candidate for lieutenant governor,-0.00016859057439542932,job__Speaker's job title_Candidate for lieutenant governor
Context: a TV debate,-0.00016859057439542932,context__Context_a TV debate
Speaker's job title: MSNBC television host,-0.00016859057439542932,job__Speaker's job title_MSNBC television host
Context: a web post,-0.00016859057439542932,context__Context_a web post
Speaker's job title: Mayor of Austin,-0.00016859057439542932,job__Speaker's job title_Mayor of Austin
Speaker's job title: Member of Milwaukee Common Council,-0.00016859057439542932,job__Speaker's job title_Member of Milwaukee Common Council
secret,-0.0001682765695460445,text__secret
clayton county,-0.00016814347385443932,text__clayton counti
clayton,-0.00016814347385443932,text__clayton
super pac,-0.00016804876950471626,text__super pac
linked,-0.00016800963579550134,text__link
obama campaign,-0.00016793514410851757,text__obama campaign
since year,-0.000167886057738596,text__sinc year
dreamers,-0.00016728058507670067,text__dreamer
homeland security,-0.00016712490275177199,text__homeland secur
homeland,-0.00016712490275177199,text__homeland
disabled,-0.0001666111322357777,text__disabl
says mitt,-0.0001665562501908899,text__say mitt
per year,-0.00016654404774990816,text__per year
senate democrats,-0.00016648763691108748,text__senat democrat
flag,-0.00016605996932971548,text__flag
obsolete,-0.00016582593925905574,text__obsolet
rep paul,-0.00016562298294474066,text__rep paul
tax increase,-0.00016547611880824873,text__tax increas
expected,-0.0001649383802240929,text__expect
according government,-0.0001647266337399538,text__accord govern
bear,-0.00016472629139271144,text__bear
free zone,-0.00016460693124026356,text__free zone
gun free,-0.00016460693124026356,text__gun free
desk,-0.00016407171411539698,text__desk
pain,-0.0001639427086598692,text__pain
candidate carlos,-0.00016374738083757825,text__candid carlo
put million,-0.00016368718156462277,text__put million
Context: a video,-0.00016342533066772958,context__Context_a video
ronald,-0.00016332388047933484,text__ronald
southern,-0.00016331556571402993,text__southern
never voted,-0.00016306107296401665,text__never vote
high percent,-0.00016246801159325625,text__high percent
rubio said,-0.0001619436817872405,text__rubio said
core standards,-0.00016183689969258356,text__core standard
obama white,-0.0001615774945095014,text__obama white
popular,-0.00016148869034610737,text__popular
money went,-0.0001612941489342325,text__money went
pay abortion,-0.00016107027896377447,text__pay abort
reduce percent,-0.00016098164933793432,text__reduc percent
justified,-0.0001605122776068986,text__justifi
state sen,-0.00016006607382798956,text__state sen
joanne,-0.00015996896306694382,text__joann
joanne kloppenburg,-0.00015996896306694382,text__joann kloppenburg
kloppenburg,-0.00015996896306694382,text__kloppenburg
direct,-0.00015975849886795413,text__direct
women killed,-0.00015939705456674054,text__women kill
chris abele,-0.00015923914038646624,text__chri abel
abele,-0.00015923914038646624,text__abel
kilmartin,-0.000159119854164254,text__kilmartin
mike coffman,-0.00015907491515408203,text__mike coffman
security trust,-0.00015881268398097598,text__secur trust
Context: a web post.,-0.0001587874978171482,context__Context_a web post.
Speaker's job title: White House press secretary,-0.00015878749781714812,job__Speaker's job title_White House press secretary
one time,-0.00015868584906525337,text__one time
power plan,-0.00015842432737705027,text__power plan
wont,-0.0001583670217307524,text__wont
childhood,-0.00015817041786427664,text__childhood
gov romney,-0.00015812305523648992,text__gov romney
trafficking,-0.00015805799269288454,text__traffick
san francisco,-0.0001580312914365662,text__san francisco
francisco,-0.0001580312914365662,text__francisco
turner,-0.00015792699551612772,text__turner
ranch,-0.0001575752248430721,text__ranch
reliable,-0.00015734833743879693,text__reliabl
political,-0.00015733871673453983,text__polit
says mark,-0.00015730795992595313,text__say mark
restaurant,-0.0001572774996294854,text__restaur
acorn,-0.00015726393818359346,text__acorn
earn income,-0.0001572037468232212,text__earn incom
since january,-0.00015702942790783998,text__sinc januari
boyfriends,-0.00015686213725152974,text__boyfriend
time much,-0.00015672805329637927,text__time much
simpson bowl,-0.0001565108954997899,text__simpson bowl
take away,-0.0001559443704481409,text__take away
donors,-0.00015574429505518835,text__donor
anti,-0.0001554905013654343,text__anti
year next,-0.000155479358232217,text__year next
sex marriage,-0.0001551438755623651,text__sex marriag
wave,-0.00015487289058570278,text__wave
bill became,-0.00015483172584469053,text__bill becam
funding management,-0.00015479022280233645,text__fund manag
newspaper,-0.00015469838784337378,text__newspap
voted budget,-0.00015468665269496428,text__vote budget
english,-0.00015441080753708563,text__english
faith,-0.00015432630545098968,text__faith
plan government,-0.00015431413398801612,text__plan govern
devastating,-0.00015381838829951427,text__devast
cost taxpayers,-0.0001536457189769518,text__cost taxpay
prostate cancer,-0.0001536100215805013,text__prostat cancer
prostate,-0.0001536100215805013,text__prostat
wasserman schultz,-0.00015333041493140022,text__wasserman schultz
debbie wasserman,-0.00015333041493140022,text__debbi wasserman
wasserman,-0.00015333041493140022,text__wasserman
child care,-0.00015319674535344723,text__child care
gender,-0.0001531752086765375,text__gender
super bowl,-0.00015316724768254942,text__super bowl
carlos,-0.00015302178934438856,text__carlo
worldwide,-0.00015300457240823923,text__worldwid
log,-0.00015268455120493891,text__log
economic growth,-0.00015261004724275272,text__econom growth
next year,-0.00015228423434109854,text__next year
energy tax,-0.0001522102340783668,text__energi tax
president combined,-0.00015211304199556477,text__presid combin
candidacy,-0.00015195638033602818,text__candidaci
reform bill,-0.00015164685312522085,text__reform bill
grocery,-0.00015140581627759016,text__groceri
national jobs,-0.00015105481724719103,text__nation job
fluorescent,-0.00015082991193004038,text__fluoresc
republican primary,-0.0001505913265782648,text__republican primari
impeachment,-0.00014989237216829683,text__impeach
structural deficit,-0.00014982990213879504,text__structur deficit
residents required,-0.00014979665933849686,text__resid requir
gave million,-0.00014953542554022224,text__gave million
prescription,-0.00014897819126267044,text__prescript
tax exempt,-0.00014877475752146768,text__tax exempt
significant,-0.00014788513034375808,text__signific
would cost,-0.00014771860994534483,text__would cost
plan cost,-0.00014748806254634734,text__plan cost
pretty,-0.00014711607520362624,text__pretti
attorney general,-0.00014686864537990417,text__attorney gener
sat,-0.0001467551830747544,text__sat
boston,-0.0001466545365897797,text__boston
tax one,-0.00014665197633358657,text__tax one
pregnant,-0.00014659150893621956,text__pregnant
teachers pay,-0.00014638615549370776,text__teacher pay
robbery,-0.0001454486218092144,text__robberi
hurricane,-0.00014486870473377468,text__hurrican
bob,-0.00014475708468776616,text__bob
rape,-0.00014468097531578848,text__rape
husband,-0.00014449461655161312,text__husband
account,-0.00014411641400683054,text__account
unfair,-0.0001440733336213997,text__unfair
clackamas,-0.00014396476973291874,text__clackama
knowledge,-0.00014389094050806857,text__knowledg
challenger,-0.00014387979937917697,text__challeng
record jobs,-0.00014349468821085593,text__record job
disqualified,-0.00014302707175360056,text__disqualifi
keep,-0.000142167641203336,text__keep
halfway,-0.0001418313528213718,text__halfway
introduced,-0.00014181685188704106,text__introduc
coal fire,-0.00014121202109360865,text__coal fire
largest number,-0.00014103938049301644,text__largest number
cell phone,-0.00014089652540584934,text__cell phone
cotton,-0.00014089494620410446,text__cotton
part time,-0.0001408909866237686,text__part time
help lead,-0.00014085918425989027,text__help lead
chinese prostitutes,-0.00014071383322566592,text__chines prostitut
florida history,-0.00014048731886632612,text__florida histori
million dollars,-0.00014048489143835634,text__million dollar
recognize,-0.00014005223567541497,text__recogn
summer,-0.00014001438206109605,text__summer
legal,-0.00013999086143943448,text__legal
damage,-0.00013981662900578053,text__damag
guard,-0.00013948840802690502,text__guard
authority military,-0.00013942346846588578,text__author militari
destruction,-0.0001392382668213598,text__destruct
charlie,-0.00013907229190477483,text__charli
unless,-0.00013906608028710815,text__unless
mosque,-0.00013884536834810152,text__mosqu
state employees,-0.00013879437486693602,text__state employe
edwards,-0.00013866073808508703,text__edward
half year,-0.00013825359755277985,text__half year
aaa,-0.00013776991930320744,text__aaa
patrol,-0.00013769839103437644,text__patrol
fools,-0.00013768098311040493,text__fool
hammers,-0.0001376171107312738,text__hammer
cell research,-0.0001374688679489568,text__cell research
fire power,-0.00013733043680338626,text__fire power
packers,-0.0001370389795606053,text__packer
hope scholarship,-0.00013683119713407235,text__hope scholarship
report says,-0.0001367736542708873,text__report say
tim,-0.00013666259717534196,text__tim
mr,-0.00013657786149670454,text__mr
Subject: debates,-0.00013654490287040046,subject__debates
tens,-0.00013650271111896584,text__ten
parenthood,-0.00013639099652106373,text__parenthood
plan parenthood,-0.00013639099652106373,text__plan parenthood
training,-0.00013632749739201936,text__train
house voted,-0.00013618923301678986,text__hous vote
holder,-0.00013601365907038015,text__holder
hearing,-0.00013590173645267942,text__hear
percent support,-0.00013528698174011605,text__percent support
human,-0.00013519290866861885,text__human
block,-0.00013393432207657008,text__block
year went,-0.00013361774174200112,text__year went
Subject: campaign-finance,-0.00013355508842130415,subject__campaign-finance
texas percent,-0.00013306880745389823,text__texa percent
vegas,-0.00013285055450337516,text__vega
switzerland,-0.000132736267761105,text__switzerland
dont wants,-0.0001327101882344417,text__dont want
michael,-0.0001324821051925145,text__michael
gas,-0.00013244711087853056,text__ga
cost live,-0.0001322594803892574,text__cost live
gun sold,-0.0001320621892093158,text__gun sold
kaptur,-0.00013166185622718942,text__kaptur
marcy,-0.00013166185622718942,text__marci
marcy kaptur,-0.00013166185622718942,text__marci kaptur
State: Arizona,-0.00013096999527480787,state__State_Arizona
jobs america,-0.00013093494598785853,text__job america
reform law,-0.00013089558291211413,text__reform law
expand medicaid,-0.00013052758563495995,text__expand medicaid
north korea,-0.00013038808621174315,text__north korea
billion per,-0.00013018871613502421,text__billion per
poses,-0.00013016792735606443,text__pose
level,-0.00012998451959704406,text__level
clinton would,-0.00012966196653466154,text__clinton would
rifle,-0.00012915435125016934,text__rifl
campaign contributions,-0.00012888415313255913,text__campaign contribut
people would,-0.00012879379391964073,text__peopl would
agreed,-0.00012871926546396536,text__agre
bruce,-0.0001286906236656609,text__bruce
laid,-0.0001285717536103482,text__laid
john mccain,-0.00012849646005042524,text__john mccain
canadian,-0.00012848578521907527,text__canadian
collective bargaining,-0.00012832044396178613,text__collect bargain
revolution,-0.00012826000592620836,text__revolut
abortion,-0.00012821488352003665,text__abort
xl pipeline,-0.00012813274293626027,text__xl pipelin
deal,-0.00012749433948059532,text__deal
forest,-0.00012713870714590466,text__forest
says mitch,-0.00012708926789922932,text__say mitch
participation,-0.00012704521023765698,text__particip
bill sent,-0.00012693426004044362,text__bill sent
joined,-0.00012657334024703969,text__join
people buy,-0.0001265723143878375,text__peopl buy
natural gas,-0.00012628290191907314,text__natur ga
bill year,-0.00012596624635423986,text__bill year
percent population,-0.00012596213998126323,text__percent popul
reserve chairman,-0.0001258620574505584,text__reserv chairman
support ted,-0.0001256812678414408,text__support ted
electric car,-0.00012541490971424297,text__electr car
state required,-0.00012509052199373072,text__state requir
almost state,-0.00012459904285103848,text__almost state
thomas,-0.00012396151241929893,text__thoma
mack iv,-0.00012373953006316173,text__mack iv
iv,-0.00012373953006316173,text__iv
brutal,-0.00012355013597632216,text__brutal
consistently,-0.00012344423032873192,text__consist
favor,-0.00012303971855649978,text__favor
biggest jobs,-0.0001228904124458212,text__biggest job
cost million,-0.00012275215896520147,text__cost million
state money,-0.0001226775099686997,text__state money
tax small,-0.0001223487733378079,text__tax small
financial,-0.0001221488007822434,text__financi
replace obamacare,-0.00012213910865781636,text__replac obamacar
muslim,-0.00012202905550016659,text__muslim
lose jobs,-0.00012197450987956258,text__lose job
wall,-0.0001216249321553378,text__wall
libyan,-0.00012155224074083164,text__libyan
zero,-0.00012128445078158854,text__zero
board,-0.00012126581038191729,text__board
athletes,-0.00012119426797297383,text__athlet
emails,-0.00012110984796589114,text__email
devices,-0.00012110747443044508,text__devic
consumer,-0.00012109579295797752,text__consum
tab,-0.00012056081079686743,text__tab
tax deduction,-0.00011990393257331196,text__tax deduct
Speaker's job title: State Assemblyman,-0.00011910642348570272,job__Speaker's job title_State Assemblyman
time jobs,-0.00011906343179698751,text__time job
pope,-0.0001190291090267589,text__pope
nuclear deal,-0.00011873481926293789,text__nuclear deal
sure,-0.00011870891293145818,text__sure
companies created,-0.00011863558818779286,text__compani creat
premiums increase,-0.0001186060191154433,text__premium increas
executive chris,-0.00011850418892618567,text__execut chri
brown,-0.00011843761164779101,text__brown
heterosexual,-0.00011831442759811918,text__heterosexu
every time,-0.00011815758821806962,text__everi time
hands,-0.00011808789573751581,text__hand
forever,-0.00011808620285537706,text__forev
mark begich,-0.00011801432047489845,text__mark begich
begich,-0.00011801432047489845,text__begich
ethics,-0.00011791732130601618,text__ethic
jobless rate,-0.00011786033313522513,text__jobless rate
september,-0.00011777084677461196,text__septemb
bonuses,-0.000117756269501029,text__bonus
lost,-0.00011772406091450495,text__lost
city milwaukee,-0.00011767207837027153,text__citi milwauke
stronger,-0.00011761753189102924,text__stronger
report,-0.00011739353609134285,text__report
care seniors,-0.00011729109499783758,text__care senior
military service,-0.00011718102897140899,text__militari servic
allow people,-0.00011670728806002973,text__allow peopl
says one,-0.00011642442450737173,text__say one
lincoln chafee,-0.00011631737782062233,text__lincoln chafe
insurance plan,-0.00011604261553030995,text__insur plan
deficit reduction,-0.00011587142322942937,text__deficit reduct
affordable care,-0.000115749547199006,text__afford care
favorite,-0.00011570892375773297,text__favorit
allow use,-0.00011514016040523624,text__allow use
get rid,-0.00011512132435052067,text__get rid
broward county,-0.0001149276504838566,text__broward counti
employees received,-0.00011475648902317751,text__employe receiv
petersburg,-0.00011473627909048203,text__petersburg
st petersburg,-0.00011473627909048203,text__st petersburg
mayor,-0.0001146907424598814,text__mayor
new jobs,-0.00011461637979724929,text__new job
recent said,-0.00011453024932587924,text__recent said
van,-0.00011452008387327784,text__van
day office,-0.00011449055890230144,text__day offic
york,-0.0001138570919957323,text__york
new york,-0.0001138570919957323,text__new york
kept,-0.00011375439749506197,text__kept
estimated percent,-0.00011370849206649325,text__estim percent
strict,-0.00011350951694352897,text__strict
cost per,-0.00011328960218789954,text__cost per
barrel oil,-0.0001132512373242558,text__barrel oil
beneficiaries,-0.00011316213646279236,text__beneficiari
cuban,-0.00011310847918398123,text__cuban
including,-0.00011303210313926175,text__includ
nuclear arms,-0.00011293246642965635,text__nuclear arm
unemployment percent,-0.00011223239308160377,text__unemploy percent
Subject: marriage,-0.00011211273197297228,subject__marriage
anybody,-0.00011196138831476978,text__anybodi
"Context: (other, less common)",-0.00011169569459428997,context__Context_infrequent_sklearn
middle,-0.00011162363645665707,text__middl
address,-0.00011156882599925473,text__address
grocery stores,-0.0001114017426506995,text__groceri store
floridians,-0.00011115756914422706,text__floridian
industry world,-0.00011092844343049047,text__industri world
special,-0.0001108238423137402,text__special
percent president,-0.0001108101001065363,text__percent presid
confirmed,-0.00011072276280600357,text__confirm
al qaida,-0.00011053914134711894,text__al qaida
qaida,-0.00011053914134711894,text__qaida
daniel webster,-0.00011019667215739741,text__daniel webster
construction,-0.0001100902917755409,text__construct
pump,-0.00010951848243119599,text__pump
goal,-0.00010926488266362668,text__goal
development,-0.00010924964278552684,text__develop
legislation,-0.00010919248122664121,text__legisl
care system,-0.00010899956582338357,text__care system
pool,-0.00010878383816985189,text__pool
pennsylvania,-0.00010869477288107637,text__pennsylvania
outrageous,-0.00010865089579247549,text__outrag
mexican,-0.00010847834699085253,text__mexican
kaine,-0.00010845932155768773,text__kain
State: New Hampshire,-0.00010829203984326259,state__State_New Hampshire
milwaukee,-0.0001082427987424089,text__milwauke
repeal obamacare,-0.0001082010049085325,text__repeal obamacar
says ohio,-0.00010807964322679695,text__say ohio
says got,-0.00010804556648599447,text__say got
texas students,-0.00010795965176397787,text__texa student
innocent,-0.00010772682708393706,text__innoc
roy barnes,-0.00010772044178990379,text__roy barn
stand ground,-0.00010735418692010665,text__stand ground
year congress,-0.00010723279949776189,text__year congress
draft,-0.00010678713019917462,text__draft
al,-0.00010677874980032273,text__al
Context: a campaign ad,-0.00010653479325329033,context__Context_a campaign ad
milwaukee county,-0.00010650143591084604,text__milwauke counti
ongoing,-0.00010596488033520483,text__ongo
year additional,-0.00010582104094946024,text__year addit
nonviolent,-0.00010569403830143298,text__nonviol
bill mccollum,-0.00010568957533077591,text__bill mccollum
others,-0.00010560563655867913,text__other
tampa,-0.00010559315377117348,text__tampa
doubled national,-0.00010543681676580303,text__doubl nation
earn money,-0.00010533746403471767,text__earn money
companies ship,-0.00010516663201265807,text__compani ship
provide health,-0.00010514946379549355,text__provid health
weekend,-0.0001049505885943758,text__weekend
time left,-0.00010481445537444138,text__time left
death,-0.00010451201073272836,text__death
civil war,-0.00010391677836359699,text__civil war
perdue,-0.00010371296348762107,text__perdu
saw,-0.00010361711242605307,text__saw
letter,-0.000103433114367953,text__letter
people says,-0.00010336388569164769,text__peopl say
battlefield,-0.00010328435194150607,text__battlefield
national highest,-0.00010315745298039981,text__nation highest
might,-0.00010315514584200272,text__might
prescription drug,-0.00010301250839769618,text__prescript drug
reduce federal,-0.00010257827037669132,text__reduc feder
going reduce,-0.00010257237045354839,text__go reduc
another million,-0.0001025708240979128,text__anoth million
slipped,-0.0001025045149495392,text__slip
